"sede_adm","codigo_activo_fijo","descripcion","color","marca","modelo","serial","estatus_fisico","unidad","observacion","documento","fecha","monto"
"LABORATORIO CENTRAL","4214214214","RADIA","NEGRO","BAOFENG","BF-4214","SIN SERIAL","BUENO","LABORATORIO","REVISION 28/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","1i258125125","CAFETERA ELECTRICA","NEGRO","PREMIIUM","0","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"LABORATORIO CENTRAL","5i12858125","MESA PARA COMPUTADOR ","BEIGE","SIN MARCA","REGULAR","SIN SERIAL","BUENO","RECEPCION LABORATORIO","REVISION 28/12/2024.","S/I","S/I","  -   "
"LABORATORIO CENTRAL","5812851825","SILLA CAJERO","NEGRA","CASIO","DAÑADA","4828163","DETERIORADO","RECEPCION LABORATORIO","REVISION 28/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","521951825","ESCRITORIO","MARRÓN","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","0","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00002840","MUEBLE TIPO BIBLIOTECA ","BEIGE","SIN MARCA","02 GAVETAS 06 ESPACIOS","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","0","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00002929","SILLA","MARRÓN","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","ACCESO A PRESIDENCIA","EDIFICIO PRESIDENCIA","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00003003","MESA PARA COMPUTADOR","BEIGE","SIN MARCA","MESA PARA COMPUTADOR","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 12/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00003078","ESCRITORIO","BEIGE","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 12/12/2024.","S/I","S/I","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00003957","SILLA","ROJO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","SEGURIDAD","REVISIÓN EL 10/10/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00004968","SILLA","AZUL","SIN MARCA","PARA VISITANTE","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","0","0","0","  -   "
"ESTACION DE BOMBEO ALI PRIMERA","00005626","SILLA","ROJO","SIN MARCA","SIN MODELO","SIN SERIAL","DETERIORADO","SEGURIDAD","REVISIÓN EL 10/10/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00005743","SILLA","MARRÓN","SIN MARCA","SILLA EJECUTIVA","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00007344","TELEFONO","BLANCO","SIEMEN","0","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00007466","MESA ","BEIGE","SIN MARCA","TIPO CONSOLA DOS PUERTAS CORREDIZAS 1 GAVETA","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"LABORATORIO CENTRAL","00007651","TELEVISOR","NEGRO","PANASONIC","20RO10210","BT6DA003905","BUENO","RECEPCION LABORATORIO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00009302","CARTELERA","MARRÓN","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00009584","SILLA","ROJO","SIN MARCA","SILLA EJECUTIVA","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","0","0","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00010459","SILLA","ROJO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","OFICINA DE SEGURIDAD","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00010624","DISPENSADOR DE AGUA","BLANCO","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00012023","SILLA","NEGRO","SIN MARCA","SIN MODELO","SIN SERIAL","REGULAR","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00012460","SILLA","MARRÓN","SIN MARCA","MADERA","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00012577","SILLA","MARRÓN","SIN MARCA","SIN MODELO","SIN SERIAL","REGULAR","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
"LABORATORIO CENTRAL","00012753","SILLA","NEGRO","SIN MARCA","SIN MODELO","SIN SERIAL","DAÑADO","RECEPCION LABORATORIO","REVISION 13/12/2024.","S/I","S/I","  -   "
"LABORATORIO CENTRAL","00013033","SILLA","NEGRO","SIN MARCA","SIN MODELO","SIN SERIAL","DAÑADO","RECEPCION LABORATORIO","REVISION 13/12/2024.","S/I","S/I","  -   "
"EDIFICIO CORO MUNICIPIO MIRANDA","00013376","TELEFONO FIJO","GRIS","SIN MARCA","SIN MODELO","SIN SERIAL","BUENO","PUESTO DE CONTROL ESTACIONAMIENTO","REVISION 13/12/2024.","S/I","S/I","  -   "
